,id,title,release_year,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
440,tm598375,Chhota Bheem Aur Krishna,2008,6.4,327.0,1.113,6.8
442,tm62369,Connected,2008,6.6,2291.0,4.903,6.3
445,tm91125,Fida,2004,5.4,2638.0,2.932,5.2
449,tm57586,Mission Istaanbul,2008,3.4,1169.0,1.009,3.2
451,tm42831,Kyo Kii... Main Jhuth Nahin Bolta,2001,5.3,2232.0,2.593,5.4
455,tm142153,Kisaan,2009,5.5,305.0,1.844,6.3
456,tm92671,Once a Gangster,2010,5.7,500.0,3.253,6.3
484,tm44730,The Amazing Spider-Man,2012,6.9,646119.0,159.056,6.7
485,tm39888,The Dark Knight Rises,2012,8.4,1669067.0,91.76,7.768
486,tm166978,Mission: Impossible - Ghost Protocol,2011,7.4,485301.0,76.839,7.0
491,tm171885,Kung Fu Panda 2,2011,7.2,280433.0,69.551,6.9
492,tm158304,Contagion,2011,6.8,301531.0,33.992,6.6
493,tm178201,Sherlock Holmes: A Game of Shadows,2011,7.4,449965.0,51.119,7.1
494,tm36237,Contraband,2012,6.4,122383.0,46.41,6.3
495,tm40319,Savages,2012,6.4,129746.0,15.525,6.4
497,tm74848,Total Recall,2012,6.2,253352.0,51.651,5.967
498,tm168921,The Smurfs,2011,5.4,90097.0,56.324,5.8
501,tm167232,Unknown,2011,6.8,260783.0,63.884,6.7
502,tm38980,Rise of the Guardians,2012,7.2,173157.0,52.108,7.4
503,tm69926,Here Comes the Boom,2012,6.4,90126.0,15.732,6.2
504,tm60844,Berserk: The Golden Age Arc I - The Egg of the King,2012,7.5,12548.0,20.928,7.4
505,tm62210,Rurouni Kenshin Part I: Origins,2012,7.4,26098.0,26.93,7.591
508,tm176507,Jackass 3.5,2011,6.246748323126275,26909.378259595665,19.565,6.3
519,tm59590,One Piece Film: Z,2012,7.8,7243.0,52.89,7.5
523,tm164353,Singham,2011,6.8,16827.0,7.066,6.7
524,tm38064,Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,7.7,10470.0,20.201,7.5
532,tm177258,Delhi Belly,2011,7.5,29927.0,6.638,7.0
535,tm65765,6 Bullets,2012,6.0,14988.0,31.445,6.1
537,tm177044,Naruto Shippuden the Movie: Blood Prison,2011,7.1,5104.0,184.852,7.2
544,tm35700,Paan Singh Tomar,2012,8.2,36077.0,4.424,7.4
545,tm170395,Sniper: Reloaded,2011,6.246748323126275,26909.378259595665,13.983,6.1
548,tm183037,Don 2,2011,7.0,52750.0,9.333,7.0
554,tm59372,Arjun: The Warrior Prince,2012,6.7,14.0,3.031,6.2
558,tm54780,Tiger & Bunny: The Beginning,2012,6.6,264.0,2.996,6.5
561,tm59289,Rowdy Rathore,2012,5.7,22497.0,6.89,6.1
566,tm54371,Mugamoodi,2012,5.1,1215.0,3.958,5.0
567,tm172883,Game,2011,5.2,2353.0,4.612,5.2
568,tm174518,Bodyguard,2011,4.6,25778.0,7.661,5.3
572,tm38013,Players,2012,4.2,4534.0,4.977,5.2
576,tm71992,Grandmaster,2012,6.9,2211.0,3.101,6.5
584,tm166740,Chhota Bheem & Krishna in Mayanagari,2011,8.7,13.0,1.028,5.1
587,tm172353,Bbuddah Hoga Terra Baap,2011,5.6,2908.0,2.229,5.2
590,tm53360,Blood Money,2012,5.0,1480.0,31.391,6.1
591,tm180532,Shaitan,2011,7.2,8475.0,4.098,6.4
592,tm34142,Department,2012,3.2,1058.0,2.125,6.0
594,tm70652,Thaandavam,2012,6.1,2034.0,2.596,5.6
600,tm53829,Blitz Patrollie,2012,5.4,145.0,1.96,6.4640118343195265
604,tm30278,Vettai,2012,6.0,2450.0,3.941,6.8
605,tm165932,Muran,2011,6.3,294.0,1.181,6.3
608,tm182026,Zokkomon,2011,4.0,411.0,1.927,6.8
621,tm176864,Rush,2013,8.1,471586.0,29.759,7.7
625,tm134967,How to Train Your Dragon 2,2014,7.8,330975.0,134.7,7.67
626,tm183523,Oldboy,2013,5.7,75728.0,20.164,5.9
630,tm182429,Olympus Has Fallen,2013,6.5,274270.0,55.607,6.4
639,tm168400,Empire State,2013,5.2,21538.0,39.273,5.4
640,tm161282,Penguins of Madagascar,2014,6.6,89930.0,92.315,6.505
641,tm148671,A Walk Among the Tombstones,2014,6.5,121232.0,67.95,6.309
642,tm171042,The Call,2013,6.7,121843.0,41.764,6.8
645,tm165521,Redemption,2013,6.246748323126275,26909.378259595665,52.251,6.2
646,tm141648,Seventh Son,2014,5.5,76939.0,45.215,5.5
651,tm161029,Mr. Peabody & Sherman,2014,6.8,69669.0,37.533,6.7
661,tm140342,"I, Frankenstein",2014,5.1,80985.0,22.094,5.3
662,tm151447,The November Man,2014,6.2,67737.0,19.151,6.1
676,tm148910,Haider,2014,8.1,54709.0,7.372,7.1
682,tm167944,Berserk: The Golden Age Arc III - The Advent,2013,7.8,10173.0,41.099,7.6
689,tm139617,Dragons: Dawn Of The Dragon Racers,2014,6.246748323126275,26909.378259595665,41.761,7.2
692,tm151927,Mary Kom,2014,6.8,10769.0,4.917,7.1
696,tm181092,Race 2,2013,5.3,16455.0,4.49,5.6
697,tm180802,LEGO Marvel Super Heroes: Maximum Overload,2013,6.246748323126275,26909.378259595665,10.788,6.2
699,tm168685,The Berlin File,2013,6.6,7198.0,7.911,6.7
703,tm144021,LEGO DC Comics Super Heroes: Batman Be-Leaguered,2014,6.5,1340.0,12.506,6.9
706,tm181550,Once Upon a Time in Mumbai Dobaara!,2013,4.4,7204.0,3.627,5.5
709,tm186161,Boss,2013,5.1,11159.0,3.181,5.7
710,tm183002,Madras Cafe,2013,7.6,24506.0,7.356,6.6
713,tm157062,Anjaan,2014,5.3,5018.0,4.673,5.8
715,tm165504,Blind Detective,2013,6.4,3300.0,7.454,6.0
717,tm35895,Buddies,2013,6.5,1082.0,3.198,6.9
727,tm176481,Chennai Express,2013,6.0,53939.0,8.622,6.6
728,tm137379,Silent,2014,6.246748323126275,26909.378259595665,3.596,7.0
730,tm167107,Saheb Biwi Aur Gangster Returns,2013,6.7,3997.0,3.099,6.8
750,tm152273,Tiger & Bunny: The Rising,2014,6.7,334.0,3.39,5.8
752,tm183654,SDU: Sex Duties Unit,2013,5.9,492.0,3.625,5.8
755,tm145658,The Amazing Praybeyt Benjamin,2014,4.0,195.0,1.584,3.5
756,tm151860,Free to Play,2014,7.6,13341.0,5.11,7.0
773,tm323262,Seven Souls in the Skull Castle,2013,7.3,49.0,2.885,6.4640118343195265
791,tm146144,Bobby Jasoos,2014,5.5,2331.0,1.886,5.9
800,tm171891,Himmatwala,2013,1.7,8648.0,0.6,3.3
808,tm144451,Cold Harbour,2014,5.2,215.0,1.955,4.2
812,tm176553,Doctor Bello,2013,4.8,54.0,1.802,6.0
814,tm138280,Sigaram Thodu,2014,6.1,462.0,1.509,5.4
816,tm159094,Naan Sigappu Manithan,2014,6.5,1092.0,2.416,6.4
820,tm179248,Settai,2013,4.5,525.0,2.696,5.1
828,tm243100,Hell or High Water,2016,7.6,227350.0,28.227,7.303
832,tm135307,Blackhat,2015,5.4,58192.0,38.675,5.5
833,tm205890,The Take,2016,6.3,43449.0,17.563,6.3
837,tm140391,Pan,2015,5.7,63788.0,24.494,6.0
839,tm137869,Wild Card,2015,5.6,55605.0,66.805,5.6
842,tm137002,Bāhubali: The Beginning,2015,8.0,120110.0,57.23,7.6
846,tm143984,London Has Fallen,2016,5.9,157409.0,47.627,6.145
848,tm120108,Kung Fu Panda 3,2016,7.1,155678.0,91.033,6.851
850,tm212927,Mr. Right,2016,6.3,55955.0,16.884,6.439
855,tm143085,Chappie,2015,6.8,249345.0,117.369,6.8
856,tm245271,Gantz:O,2016,7.1,14950.0,28.818,7.3
857,tm135106,In a Valley of Violence,2016,6.0,18987.0,13.597,6.1
866,tm140843,Self/less,2015,6.5,98837.0,24.941,6.407
869,tm204035,Spectral,2016,6.3,59040.0,30.663,6.43
872,tm239743,Batman: The Killing Joke,2016,6.4,56275.0,25.747,6.615
874,tm208622,American Ultra,2015,6.1,89912.0,20.733,6.1
882,tm244403,ARQ,2016,6.3,39108.0,20.157,6.1
886,tm230551,Ip Man 3,2015,7.0,54977.0,38.051,7.0
887,tm228677,The Space Between Us,2016,6.4,52698.0,23.219,7.1
891,tm205812,The Siege of Jadotville,2016,7.2,39404.0,11.351,7.2
894,tm215638,Boyka: Undisputed IV,2016,6.246748323126275,26909.378259595665,145.287,7.0
896,tm214825,The Ridiculous 6,2015,4.8,47935.0,40.711,5.152
898,tm239707,The Do-Over,2016,5.7,46260.0,11.466,5.672
900,tm239733,Headshot,2016,6.3,14824.0,19.074,6.5
902,tm232953,Sleight,2016,5.9,8644.0,5.226,5.4
905,tm134516,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,6.1,19500.0,21.103,6.1
908,tm233317,Pee-wee's Big Holiday,2016,6.1,8064.0,10.884,6.2
914,tm221225,David Brent: Life on the Road,2016,6.3,20005.0,8.871,6.135
918,tm139194,Ratchet & Clank,2016,5.5,10919.0,22.825,5.8
920,tm233544,Marco Polo: One Hundred Eyes,2015,7.8,10742.0,6.475,7.3
922,tm233616,LEGO Marvel Super Heroes: Avengers Reassembled!,2015,6.1,862.0,16.252,6.5
923,tm244381,Marauders,2016,5.5,21929.0,17.087,5.8
925,tm244915,Baaghi,2016,5.3,8994.0,16.534,6.4
929,tm240007,Sniper: Ghost Shooter,2016,6.246748323126275,26909.378259595665,24.331,6.6
933,tm219173,Term Life,2016,5.5,8030.0,16.084,5.9
937,tm205870,Message from the King,2016,6.4,16513.0,15.381,6.2
941,tm271070,The Warriors Gate,2016,5.4,5098.0,15.133,6.7
948,tm235405,Hyena Road,2015,6.5,7839.0,9.363,6.7
954,tm290444,Pandora,2016,6.6,7416.0,27.496,7.5
959,tm225275,Riot,2015,5.1,3369.0,12.429,5.8
961,tm308241,Legends of the Hidden Temple,2016,5.6,921.0,3.528,6.7
962,tm213681,Veteran,2015,7.0,6611.0,9.614,6.9
963,tm139870,Opening Night,2016,6.0,2662.0,7.809,5.9
965,tm246175,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,6.3,6023.0,7.299,6.4
970,tm266844,True Memoirs of an International Assassin,2016,5.9,22891.0,16.152,5.8
971,tm300713,High & Low The Movie,2016,6.4,583.0,2.513,6.0
976,tm224377,Heneral Luna,2015,7.3,2132.0,3.448,7.8
978,tm241998,Mohenjo Daro,2016,5.6,11693.0,8.73,6.5
980,tm242646,Toro,2016,5.9,3256.0,8.146,6.0
982,tm208713,Gabbar Is Back,2015,7.1,24975.0,7.397,7.2
987,tm201365,Brothers,2015,6.4,13003.0,5.554,6.6
996,tm221883,Gridlocked,2016,5.8,4604.0,14.458,5.8
1011,tm240162,Udta Punjab,2016,7.7,30276.0,8.861,7.2
1016,tm282915,Fate/Grand Order: First Order,2016,5.7,896.0,12.341,6.8
1019,tm272854,Force 2,2016,6.2,5550.0,5.209,6.6
1027,tm233570,Beauty and the Bestie,2015,4.6,297.0,2.213,4.8
1035,tm228839,Ali Baba and the 7 Dwarfs,2015,5.6,20155.0,3.728,5.2
1044,tm238829,Open Season: Scared Silly,2015,6.246748323126275,26909.378259595665,24.391,5.9
1051,tm244868,The Flower of Aleppo,2016,5.4,128.0,1.4,6.2
1052,tm245155,The Worthy,2016,5.1,2004.0,5.348,4.8
1054,tm456667,Black,2015,4.3,74.0,0.6,6.4640118343195265
1066,tm283938,Selfie 69,2016,6.1,1700.0,4.445,6.8
1081,tm307997,Offline: Are You Ready for the Next Level?,2016,5.0,783.0,16.734,5.4
1083,tm219699,Phantom,2015,5.9,9281.0,3.083,5.6
1084,tm234136,MindGamers,2015,3.6,1111.0,1.593,4.3
1093,tm224255,Very Big Shot,2015,6.9,1405.0,1.669,6.7
1110,tm375681,S Storm,2016,5.1,721.0,2.201,5.7
1111,tm316567,HiGH&LOW: The Red Rain,2016,6.1,296.0,2.529,7.8
1116,tm66466,Wazir,2016,7.2,18681.0,5.319,6.6
1117,tm340927,Motu Patlu: King Of Kings,2016,6.5,165.0,2.208,9.0
1133,tm226320,Kara Bela,2015,6.7,9056.0,3.656,6.6
1135,tm319354,Santa Pac's Merry Berry Day,2016,6.246748323126275,26909.378259595665,1.605,5.5
1140,tm235232,Misunderstanding,2015,4.3,780.0,1.441,6.4640118343195265
1149,tm246810,Santa Banta Pvt Ltd,2016,2.7,283.0,2.241,3.8
1154,tm211571,Niyazi Gül Dörtnala,2015,4.5,3170.0,2.395,4.2
1157,tm1223831,Motu Patlu Aur Khazaane Ki Race,2015,6.246748323126275,26909.378259595665,20.314545995042334,6.4640118343195265
1162,tm235005,Oloibiri,2015,5.1,183.0,1.396,6.4640118343195265
1170,tm424879,Road To High & Low,2016,6.6,185.0,4.102,6.0
1179,tm350727,Hajwala: The Missing Engine,2016,2.0,255.0,1.389,6.2
1190,tm239091,Blade Runner 2049,2017,8.0,549712.0,67.788,7.5
1191,tm313149,12 Strong,2018,6.5,79980.0,67.199,6.2
1195,tm232797,Dunkirk,2017,7.8,619645.0,36.684,7.5
1199,tm318206,Den of Thieves,2018,7.0,110108.0,47.326,6.7
1200,tm266714,CHiPS,2017,6.0,46783.0,34.887,6.1
1205,tm244174,Okja,2017,7.3,116305.0,25.911,7.415
1206,tm288010,Final Score,2018,5.7,11967.0,17.411,6.1
1210,tm414073,Backtrace,2018,3.8,4453.0,19.984,5.4
1213,tm239286,The Cloverfield Paradox,2018,5.5,104068.0,21.122,5.6
1214,tm272060,What Happened to Monday,2017,6.8,121772.0,60.669,7.2
1217,tm370212,Adrift,2018,6.6,55597.0,17.991,6.9
1220,tm350,The Bad Batch,2017,5.2,31275.0,18.249,5.3
1223,tm233482,The Foreigner,2017,7.0,113338.0,32.05,6.8
1225,tm319818,Outlaw King,2018,6.9,70822.0,24.14,6.8
1240,tm244332,Beirut,2018,6.4,22065.0,10.945,6.3
1243,tm221953,Bāhubali 2: The Conclusion,2017,8.2,94421.0,38.877,7.3
1250,tm299677,Hold the Dark,2018,5.6,36928.0,16.591,5.318
1254,tm244307,Bright,2017,6.3,185996.0,36.593,6.2
1257,tm310706,Extinction,2018,5.8,52635.0,28.029,6.009
1260,tm422491,Speed Kills,2018,4.2,3244.0,14.407,5.6
1262,tm315340,The Night Comes for Us,2018,6.9,25839.0,12.473,6.8
1266,tm243326,Anon,2018,6.1,42608.0,21.915,5.919
1268,tm323634,A-X-L,2018,5.3,11920.0,32.431,6.3
1275,tm245176,Sand Castle,2017,6.3,23158.0,27.077,6.5
1281,tm349278,Ravenous,2017,5.8,9205.0,10.328,5.8
1291,tm321224,"Game Over, Man!",2018,5.4,30218.0,14.358,5.5
1302,tm324155,Security,2017,5.7,18943.0,31.419,6.2
1303,tm244148,Mowgli: Legend of the Jungle,2018,6.5,61622.0,24.646,6.5
1305,tm420745,How It Ends,2018,5.0,52709.0,18.214,5.3
1306,tm217228,Death Note,2017,4.5,84119.0,22.306,4.2
1314,tm211554,Beyond Skyline,2017,5.3,21834.0,10.535,5.2
1317,tm328443,Illang: The Wolf Brigade,2018,5.9,5138.0,17.354,6.4
1322,tm139545,The Outsider,2018,6.2,25608.0,11.155,6.2
1332,tm300184,iBoy,2017,6.0,22594.0,14.284,6.0
1339,tm406111,The Debt Collector,2018,5.8,7541.0,29.382,5.9
1349,tm327199,The Saint,2017,4.9,6669.0,19.06,5.3
1354,tm322243,Shimmer Lake,2017,6.3,14098.0,20.508,5.9
1356,tm312577,Fullmetal Alchemist,2017,5.2,19493.0,15.705,5.3
1357,tm413049,Animal World,2018,6.4,4447.0,24.922,7.2
1358,tm346467,Wheelman,2017,6.4,20351.0,15.282,6.1
1361,tm266652,Bleach,2018,6.4,11406.0,25.802,6.6
1366,tm317110,Psychokinesis,2018,5.9,5643.0,23.968,6.157
1370,tm241990,Blame!,2017,6.6,8044.0,31.452,6.4
1372,tm324820,MFKZ,2018,6.7,4412.0,7.664,7.1
1378,tm315584,Godzilla: Planet of the Monsters,2017,6.0,8548.0,15.942,6.3
1381,tm425138,Godzilla: The Planet Eater,2018,5.0,4196.0,34.899,6.5
1383,tm244519,Birth of the Dragon,2017,5.6,8220.0,23.051,5.8
1385,tm298779,Lu Over the Wall,2017,6.8,2269.0,8.944,7.0
1392,tm1883,Animal Crackers,2017,5.8,3422.0,32.235,6.3
1404,tm348003,Acts of Vengeance,2017,5.7,12160.0,23.289,5.899
1411,tm366019,BuyBust,2018,5.7,1902.0,4.931,6.0
1421,tm420656,Reprisal,2018,4.2,7504.0,13.316,5.3
1432,tm357479,Day of the Dead: Bloodline,2017,3.4,11909.0,19.869,4.6
1443,tm327540,Gnome Alone,2017,5.6,3488.0,15.668,6.2
1445,tm344886,The Angel,2018,6.6,14115.0,9.032,6.7
1448,tm325102,Puss in Book: Trapped in an Epic Tale,2017,6.246748323126275,26909.378259595665,26.998,6.5
1456,tm363231,Godzilla: City on the Edge of Battle,2018,5.8,4896.0,19.716,6.5
1460,tm266702,The Climb,2017,6.9,7505.0,13.045,6.8
1464,tm311319,Manhunt,2017,5.2,3247.0,11.686,5.6
1467,tm344336,Burn Out,2018,6.2,3803.0,21.048,6.8
1470,tm374845,The Seven Deadly Sins: Prisoners of the Sky,2018,7.1,4768.0,29.994,7.6
1471,tm311995,The Battleship Island,2017,7.1,7095.0,27.413,7.2
1473,tm515157,Point Blank,2017,5.7,14324.0,12.985,6.1
1476,tm371952,Sarkar,2018,7.0,18453.0,4.559,6.0
1485,tm317491,Spyder,2017,6.3,10339.0,3.35,5.4
1486,tm327053,The Killer,2017,6.0,2664.0,17.109,6.2
1496,tm321628,Rip Tide,2017,5.4,3472.0,17.594,6.2
1499,tm326704,Parmanu: The Story of Pokhran,2018,7.6,23973.0,5.7,7.0
1505,tm244274,Lowriders,2017,5.6,2542.0,9.863,6.7
1507,tm376234,The Warning,2018,5.9,6356.0,8.052,6.0
1509,tm327622,S.W.A.T.: Under Siege,2017,4.5,3572.0,28.251,5.8
1512,tm429208,Next Gen,2018,6.6,17445.0,16.957,7.0
1517,tm318641,Justice,2017,4.0,1237.0,5.604,5.8
1519,tm233485,Charming,2018,5.6,3518.0,14.649,6.5
1523,tm307843,Angamaly Diaries,2017,7.9,6013.0,3.606,7.3
1530,tm244292,Bibi & Tina: Perfect Pandemonium,2017,4.0,470.0,5.562,5.5
1534,tm376015,LEGO Marvel Super Heroes: Guardians of the Galaxy - The Thanos Threat,2017,5.8,451.0,13.946,7.1
1537,tm372662,The Skin of the Wolf,2018,5.8,3108.0,11.772,5.2
1540,tm270987,Sahara,2017,5.5,2802.0,20.636,5.894
1552,tm287041,Jailbreak,2017,5.4,1467.0,3.748,5.9
1558,tm417317,Bhavesh Joshi Superhero,2018,7.6,8857.0,4.151,8.0
1565,tm296398,Steel Rain,2017,7.1,5581.0,14.511,7.2
1569,tm244521,Catfight,2017,5.9,6323.0,6.831,5.5
1573,tm428073,When Angels Sleep,2018,5.5,3684.0,7.521,5.6
1574,tm356563,The Stolen,2017,5.3,1330.0,6.15,5.5
1578,tm427143,Edge of Fear,2018,4.4,3187.0,8.766,4.7
1602,tm418039,LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda,2018,5.6,572.0,10.798,6.7
1604,tm440678,Revenger,2018,5.7,4311.0,18.767,5.3
1609,tm307774,Jagga Jasoos,2017,6.3,10283.0,6.005,6.0
1610,tm299396,Getaway Plan,2017,5.6,1867.0,9.103,5.5
1611,tm366972,The Drug King,2018,6.2,3159.0,15.052,6.287
1617,tm305112,The Fortress,2017,6.8,2537.0,10.294,6.6
1621,tm233484,Duck Duck Goose,2018,5.7,3721.0,12.075,6.2
1624,tm363878,Aiyaary,2018,5.2,4732.0,5.373,5.6
1631,tm440255,The Plagues of Breslau,2018,5.9,5012.0,10.792,6.3
1638,tm286532,Rock my Heart,2017,6.5,993.0,7.023,7.2
1639,tm320817,Mersal,2017,7.5,33832.0,8.293,7.2
1646,tm307767,Baadshaho,2017,4.9,4880.0,4.073,5.8
1677,tm431760,Paskal,2018,6.8,2964.0,21.554,7.7
1687,tm322200,Superlopez,2018,5.4,3635.0,10.953,5.3
1691,tm244277,Pa Paandi,2017,7.4,1734.0,2.999,7.0
1698,tm309115,Naam Shabana,2017,6.2,6757.0,6.256,5.8
1705,tm421125,The Suit,2018,5.3,1645.0,1.837,7.0
1707,tm275004,Bon Cop Bad Cop 2,2017,6.6,4152.0,8.058,6.4
1725,tm321073,Judwaa 2,2017,3.6,10740.0,5.689,5.8
1733,tm328052,Sparring,2017,6.4,627.0,4.202,5.8
1738,tm413129,Goyo: The Boy General,2018,6.7,799.0,3.961,7.0
