,id,title,release_year,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1744,tm283322,Burning Sands,2017,6.0,2854.0,9.374,5.8
1760,tm456983,Mauli,2018,5.5,365.0,1.025,5.0
1763,tm319310,CIA: Comrade In America,2017,6.4,3088.0,2.548,6.0
1774,tm324204,Monster Island,2017,4.7,739.0,9.182,5.6
1776,tm443034,Your Son,2018,6.1,4796.0,10.487,5.7
1802,tm430090,The Last Runaway,2018,5.9,727.0,19.794,7.1
1818,tm436266,Born Racer,2018,6.1,262.0,1.917,7.7
1822,tm408781,Teefa in Trouble,2018,7.0,3659.0,3.176,7.6
1835,tm321149,Fishtronaut: The Movie,2018,7.5,73.0,6.934,8.0
1878,tm430426,El Diesel,2018,4.5,455.0,2.001,6.1
1884,tm374395,Vanjagar Ulagam,2018,6.1,258.0,1.4,4.8
1886,tm426238,Pulang,2018,6.7,594.0,2.151,5.9
1893,tm429174,Gun City,2018,6.3,3895.0,6.61,6.4
1899,tm431214,Back to Q82,2017,6.1,104.0,1.144,6.4640118343195265
1911,tm246330,Pandigai,2017,6.3,285.0,1.211,6.5
1919,tm416341,HiGH&LOW The Movie 3: Final Mission,2017,7.1,656.0,5.265,6.4
1941,tm242887,Sei,2018,4.2,67.0,1.09,4.3
1947,tm376421,HiGH&LOW The Movie 2: End of Sky,2017,7.1,396.0,3.198,7.7
2011,tm430459,La Leyenda del Diamante,2018,3.3,51.0,12.871,5.25
2020,tm430748,Neevevaro,2018,6.9,809.0,1.677,6.5
2025,tm493814,Satria Heroes: Revenge of the Darkness,2017,4.4,69.0,20.314545995042334,6.4640118343195265
2027,tm465864,Hajwala 2: Mysterious Mission,2018,3.9,93.0,1.533,4.0
2046,tm441050,The Gentlemen,2019,7.8,325385.0,67.919,7.687
2051,tm496322,Extraction,2020,6.7,196105.0,51.91,7.4
2056,tm911973,Enola Holmes,2020,6.6,162511.0,22.461,7.3
2057,tm849003,The Old Guard,2020,6.6,158247.0,20.588,7.2
2065,tm414584,Rambo: Last Blood,2019,6.1,96740.0,88.199,6.5
2067,tm412937,Trading Paint,2019,4.4,1996.0,8.786,5.6
2073,tm431321,21 Bridges,2019,6.6,65845.0,29.285,6.7
2074,tm417553,6 Underground,2019,6.1,172083.0,68.45,6.327
2077,tm827648,El Camino: A Breaking Bad Movie,2019,7.3,216847.0,42.566,6.91
2081,tm916405,The Outpost,2020,6.8,32952.0,31.294,6.9
2083,tm244207,Triple Frontier,2019,6.4,125883.0,28.54,6.3
2085,tm423666,The Wandering Earth,2019,5.9,30297.0,25.187,6.4
2089,tm1121246,Code 8,2019,6.1,39469.0,18.193,6.2
2093,tm983787,Ava,2020,5.4,54279.0,155.235,5.753
2097,tm441231,Murder Mystery,2019,6.0,124599.0,22.376,6.2
2121,tm499045,Occupation: Rainfall,2020,5.2,14219.0,16.63,6.5
2125,tm927718,The Paper Tigers,2020,6.3,4341.0,4.665,6.9
2133,tm878333,Pokémon the Movie: Secrets of the Jungle,2020,6.4,1942.0,110.86,7.027
2134,tm893480,Project Power,2020,6.0,86407.0,22.48,6.5
2136,tm820190,#Alive,2020,6.3,38313.0,58.967,7.3
2137,tm853953,Tremors: Shrieker Island,2020,6.246748323126275,26909.378259595665,21.871,6.3
2142,tm361998,The Wolf's Call,2019,6.9,17468.0,15.545,7.6
2143,tm451078,Pokemon the Movie: Mewtwo Strikes Back - Evolution,2019,5.7,5475.0,146.188,6.7
2145,tm450375,Thackeray,2019,5.3,3365.0,2.821,5.3
2148,tm449105,Polar,2019,6.3,88281.0,30.208,6.3
2150,tm498803,Spenser Confidential,2020,6.2,86593.0,21.502,6.545
2152,tm315255,Ip Man 4: The Finale,2019,7.0,31692.0,19.541,7.2
2154,tm411750,Doom: Annihilation,2019,3.7,9281.0,29.955,4.9
2157,tm434553,Cut Throat City,2020,4.8,2594.0,10.445,6.6
2159,tm927037,The Water Man,2020,5.4,3880.0,13.201,6.2
2169,tm925486,Jiu Jitsu,2020,2.9,8693.0,96.709,5.0
2172,tm420455,Rim of the World,2019,5.2,23987.0,22.933,6.0
2173,tm925584,The Vanished,2020,5.7,10378.0,13.281,6.0
2175,tm423140,Avengement,2019,6.5,15685.0,17.407,6.8
2182,tm974366,We Can Be Heroes,2020,4.7,14759.0,72.986,6.2
2186,tm810547,Night in Paradise,2020,6.7,6747.0,61.796,6.9
2193,tm935309,Skylines,2020,4.7,8139.0,92.324,5.6
2196,tm852996,Captain Underpants: Epic Choice-o-rama,2020,6.4,80.0,4.5,8.0
2201,tm856375,The Decline,2020,6.0,8782.0,7.679,6.2
2204,tm918706,The Sleepover,2020,5.6,10399.0,9.88,6.5
2227,tm452851,The Operative,2019,5.7,6250.0,18.028,5.7
2228,tm465724,See You Yesterday,2019,5.2,10725.0,7.583,5.6
2230,tm451512,Close,2019,5.7,24755.0,17.405,5.82
2243,tm283581,Super Deluxe,2019,8.4,13680.0,7.084,7.8
2249,tm460829,Children of the Sea,2019,6.5,2850.0,17.945,7.2
2250,tm853396,Dragonheart: Vengeance,2020,6.246748323126275,26909.378259595665,35.14,7.0
2263,tm850723,Altered Carbon: Resleeved,2020,6.5,6127.0,81.179,6.5
2266,tm524282,Invader ZIM: Enter the Florpus,2019,7.4,5796.0,10.288,7.6
2268,tm451548,The Fable,2019,6.5,1838.0,3.501,6.5
2271,tm812916,The Stronghold,2020,6.9,10013.0,100.742,7.479
2277,tm893799,Lost Bullet,2020,6.3,9479.0,12.144,6.7
2306,tm922532,Freaks – You're One of Us,2020,5.4,5809.0,11.865,5.7
2308,tm453850,Time to Hunt,2020,6.3,5621.0,14.681,7.2
2310,tm455059,We Die Young,2019,5.2,4181.0,17.605,6.9
2312,tm888080,The Last Days of American Crime,2020,3.7,11465.0,9.916,6.7
2321,tm1127695,The Endless Trench,2019,7.2,6400.0,10.223,7.0
2326,tm823355,Inside Man: Most Wanted,2019,5.6,3967.0,19.139,6.6
2333,tm814644,Coffee & Kareem,2020,5.1,13535.0,11.17,5.5
2336,tm454824,Silver Skates,2020,7.1,5946.0,13.837,7.9
2337,tm853113,Thomas & Friends: Marvelous Machinery,2020,6.1,16.0,1.21,2.0
2338,tm885805,Debt Collectors,2020,5.8,4347.0,15.007,6.1
2347,tm461829,The Hard Way,2019,4.8,3250.0,16.86,5.4
2352,tm838876,Undercover Brother 2,2019,3.4,690.0,4.658,3.9
2355,tm827304,LEGO Marvel Spider-Man: Vexed by Venom,2019,5.6,311.0,9.62,7.2
2359,tm467848,NiNoKuni,2019,6.1,3338.0,19.73,6.7
2360,tm917974,Hard Kill,2020,3.3,19750.0,13.322,5.1
2362,tm917822,The 2nd,2020,3.8,8590.0,12.089,5.5
2367,tm886086,Seized,2020,5.3,2270.0,12.92,6.6
2369,tm375446,Asphalt Burning,2020,5.1,2315.0,18.974,5.4
2387,tm319139,Saaho,2019,5.0,19610.0,7.256,6.1
2388,tm461159,Trouble,2019,5.8,3281.0,17.173,6.7
2389,tm305433,Rocko's Modern Life: Static Cling,2019,6.9,3865.0,10.256,6.5
2392,tm978401,Mosul,2019,6.246748323126275,26909.378259595665,7.95,6.7
2398,tm816992,Double World,2020,6.1,4160.0,14.66,6.7
2399,tm854278,Rogue City,2020,6.246748323126275,26909.378259595665,10.026,5.863
2400,tm467804,Watchman,2019,6.246748323126275,26909.378259595665,1.537,5.2
2405,tm814150,How I Became a Super Hero,2020,5.8,5194.0,125.201,6.2
2406,tm864480,Unknown Origins,2020,6.1,6769.0,8.534,6.1
2407,tm518467,Dragon Rider,2020,5.6,1597.0,14.144,7.3
2408,tm844250,Ala Vaikunthapurramuloo,2020,7.3,17029.0,9.691,6.8
2410,tm366245,Drive,2019,3.1,7671.0,19.937,5.4
2421,tm452962,Eye for an Eye,2019,6.6,7625.0,10.68,6.7
2428,tm898262,Coven,2020,6.4,4754.0,7.981,6.752
2434,tm890660,The Paramedic,2020,5.7,12396.0,11.497,6.1
2444,tm835432,Sky High,2020,5.6,3532.0,27.138,6.217
2448,tm886283,Legacy of Lies,2020,5.0,3493.0,10.179,5.6
2463,tm465513,Bulletproof 2,2020,3.5,615.0,12.219,6.7
2478,tm450832,Paradise Beach,2019,4.6,2242.0,12.684,5.2
2479,tm450462,Petta,2019,7.3,9778.0,6.578,7.1
2485,tm466954,Alien Warfare,2019,2.6,3527.0,18.55,4.1
2491,tm925858,Black Beach,2020,5.6,1572.0,6.955,6.0
2500,tm462277,Romeo Akbar Walter,2019,6.6,5773.0,5.086,6.5
2508,tm931436,Welcome to Sudden Death,2020,4.3,26909.378259595665,10.589,6.3
2517,tm847623,Rogue Warfare: Death of a Nation,2020,3.3,380.0,3.373,4.8
2518,tm925218,Monster Run,2020,5.2,417.0,4.601,4.8
2523,tm917325,Dragons: Rescue Riders: Secrets of the Songwing,2020,5.0,181.0,15.106,8.0
2524,tm838954,Wira,2019,6.3,476.0,2.33,5.4
2525,tm675154,Malaal,2019,5.8,1066.0,1.644,5.3
2529,tm856424,Bheeshma,2020,6.5,4028.0,2.2,6.6
2533,tm455161,Panipat,2019,5.2,5615.0,4.63,7.1
2539,tm465427,Maria,2019,5.0,2065.0,9.293,6.3
2551,tm836674,The Main Event,2020,4.8,2327.0,15.911,6.7
2556,tm945435,Octonauts and the Great Barrier Reef,2020,6.5,141.0,4.123,10.0
2557,tm474061,Malibu Rescue,2019,4.9,1277.0,12.447,6.4
2565,tm483602,Malang,2020,6.5,10490.0,4.904,7.4
2582,tm466832,Dragon Quest: Your Story,2019,6.5,2831.0,13.817,6.8
2600,tm452867,Jo Pil-ho: The Dawning Rage,2019,6.3,2193.0,10.819,6.0
2614,tm921416,Class of '83,2020,5.8,5628.0,3.481,5.8
2616,tm861718,Villain,2020,5.9,3324.0,4.029,5.9
2618,tm442199,Shanghai Fortress,2019,4.3,2383.0,27.126,5.6
2619,tm455197,Kabir Singh,2019,7.0,31918.0,7.633,6.9
2626,tm851912,Gunjan Saxena: The Kargil Girl,2020,5.6,34567.0,6.318,7.4
2627,tm941531,The Beast,2020,5.2,4323.0,9.785,6.3
2631,tm873159,The Yin-Yang Master: Dream of Eternity,2020,6.4,4751.0,30.086,7.5
2643,tm429172,The (Silent) War,2019,5.5,681.0,4.766,5.9
2644,tm849131,I Am Vengeance: Retaliation,2020,3.4,3075.0,10.168,6.1
2648,tm824560,The Lost Okoroshi,2020,5.8,175.0,1.196,6.6
2655,tm835512,The Spooky Tale of Captain Underpants Hack-a-Ween,2019,5.9,208.0,6.989,6.2
2685,tm843958,Rogue Warfare: The Hunt,2019,3.1,590.0,8.239,5.6
2687,tm1149814,Uncovered,2019,4.6,24.0,0.887,6.4640118343195265
2695,tm501222,Twin Murders: The Silence of the White City,2019,5.3,5307.0,11.036,5.6
2696,tm428506,The Man Who Feels No Pain,2019,7.3,7761.0,2.934,6.8
2703,tm847212,Thambi,2019,6.246748323126275,26909.378259595665,2.896,6.4
2705,tm234980,A Choo,2020,5.5,378.0,3.187,5.0
2710,tm856945,Carmen Sandiego: To Steal or Not to Steal,2020,6.246748323126275,26909.378259595665,5.246,6.4
2711,tm859143,Torbaaz,2020,6.9,17892.0,2.797,7.6
2714,tm918960,The Magic School Bus Rides Again: Kids in Space,2020,6.1,86.0,3.821,7.6
2726,tm883113,Earth and Blood,2020,6.246748323126275,26909.378259595665,17.451,6.2
2729,tm878995,Dragons: Rescue Riders: Hunt for the Golden Dragon,2020,5.1,155.0,7.16,6.8
2743,tm845607,Spirit Riding Free: Spirit of Christmas,2019,5.2,124.0,8.492,6.9
2744,tm926528,AK vs AK,2020,6.9,14195.0,3.757,7.3
2762,tm115973,Guna 369,2019,6.7,19.0,2.278,5.0
2763,tm869373,High & Low: The Worst,2019,6.7,516.0,4.017,7.1
2765,tm848444,Masameer: The Movie,2020,5.9,2274.0,2.473,6.2
2774,tm452237,The Car: Road to Revenge,2019,4.0,1096.0,20.461,6.6
2785,tm996316,Omo Ghetto: The Saga,2020,7.5,60.0,1.4,5.5
2787,tm834653,The Knight and the Princess,2019,5.5,394.0,1.209,6.4640118343195265
2794,tm918373,Malibu Rescue: The Next Wave,2020,4.8,841.0,8.488,6.5
2795,tm457410,Money Trap,2019,6.0,14565.0,9.695,5.6
2801,tm925785,Dark Forces,2020,2.7,597.0,4.03,4.3
2802,tm454464,Pegasus,2019,6.3,1813.0,5.369,6.3
2839,tm938434,All Because of You,2020,3.9,218.0,2.519,6.6
2851,tm810357,True: Happy Hearts Day,2019,6.246748323126275,26909.378259595665,2.006,7.0
2871,tm982018,A Trash Truck Christmas,2020,5.5,214.0,17.611,6.5
2885,tm925186,Santana,2020,3.8,984.0,7.095,5.6
2887,tm846630,Tarung Sarung,2020,5.9,196.0,3.165,7.4
2903,tm847805,Ludo,2020,7.6,37528.0,10.329,7.5
2908,tm820338,The 9th Precinct,2019,5.6,535.0,14.932,6.1
2909,tm844236,True: Winter Wishes,2019,6.246748323126275,26909.378259595665,3.056,6.4
2920,tm949905,Asura Guru,2020,3.2,322.0,20.314545995042334,6.4640118343195265
2922,tm935941,Horrid Henry's Gross Day Out,2020,5.9,47.0,2.448,1.0
2931,tm466854,Uriyadi 2,2019,7.1,888.0,2.803,6.9
2949,tm981956,Spirit Riding Free: Ride Along Adventure,2020,6.1,61.0,1.52,8.7
2967,tm922407,Kilometers and Kilometers,2020,6.3,1592.0,2.453,5.6
2975,tm1073424,Motu Patlu the Superheroes – Super Villains from Mars,2019,6.246748323126275,26909.378259595665,0.89,10.0
2987,tm888850,"Blue, Painful, and Brittle",2020,6.246748323126275,26909.378259595665,3.108,6.0
3030,tm826983,The Girl and the Gun,2019,6.246748323126275,26909.378259595665,1.708,6.1
3046,tm464284,We Are Legends,2019,5.2,195.0,1.663,5.0
3071,tm1080445,The Gray Man,2022,6.6,46071.0,510.268,6.851
3072,tm463762,RRR,2022,8.0,87515.0,53.526,7.8
3074,tm852360,The Man from Toronto,2022,5.8,31497.0,1439.906,6.449
3077,tm1020438,Spiderhead,2022,5.4,43239.0,996.869,5.8
3083,tm928497,Valley of the Dead,2022,6.5,114.0,1668.296,6.303
3085,tm1082564,The Adam Project,2022,6.7,183489.0,317.154,7.106
3088,tm1072066,Blasted,2022,4.8,1528.0,41.268,5.3
3090,tm1044289,Interceptor,2022,4.5,20007.0,438.512,6.13
3093,tm404856,Red Notice,2021,6.3,264194.0,311.673,6.775
3097,tm852172,Apollo 10½:  A Space Age Childhood,2022,7.3,6681.0,8.534,7.2
3100,tm825714,The Harder They Fall,2021,6.5,59833.0,114.813,6.746
3101,tm996762,Major,2022,9.1,7576.0,6.429,8.188
3106,tm986168,The Guilty,2021,6.3,117984.0,33.761,6.4
3107,tm1019177,The Colony,2021,5.3,8495.0,23.747,5.6
3114,tm1014947,Against the Ice,2022,6.5,20521.0,60.566,6.9
3117,tm1117040,Anek,2022,7.1,19394.0,9.261,5.2
3123,tm1180524,Av: The Hunt,2021,5.5,344.0,5.264,6.0
3124,tm501313,Gunpowder Milkshake,2021,6.0,42709.0,106.522,6.398
3125,tm1137051,Bubble,2022,6.3,4597.0,550.643,7.497
3128,tm1048362,Army of Thieves,2021,6.4,73790.0,157.021,6.9
3133,tm456513,Army of the Dead,2021,5.7,169348.0,131.869,6.3
3136,tm1064065,Black Crab,2022,5.6,19159.0,207.948,6.3
3141,tm1046932,Kate,2021,6.2,59480.0,64.19,6.7
3155,tm1046264,The Vault,2021,6.4,21511.0,22.456,5.9
3160,tm1087461,Last Man Down,2021,4.8,12850.0,358.251,6.273
3161,tm1046026,The Trip,2021,6.9,20921.0,65.274,6.7
3170,tm1110527,Captain Nova,2021,5.5,1391.0,7.99,6.2
3171,tm1022103,Outlaws,2021,6.9,3985.0,67.192,7.0
3177,tm841797,The Ice Road,2021,5.6,38927.0,35.718,7.009
3181,tm1219505,Centauro,2022,6.246748323126275,26909.378259595665,492.606,6.331
3191,tm413169,Peter Rabbit 2: The Runaway,2021,6.2,11233.0,130.318,7.2
3193,tm1151272,Beast,2022,5.2,30369.0,15.358,6.3
3198,tm841825,My Little Pony: A New Generation,2021,6.8,3657.0,88.17,8.0
3199,tm1159163,Fistful of Vengeance,2022,4.4,6341.0,211.567,5.4
3200,tm1164962,Restless,2022,5.8,4174.0,217.363,6.0
3201,tm1027081,Blood Red Sky,2021,6.1,44006.0,57.545,7.0
3203,tm1003034,The Witcher: Nightmare of the Wolf,2021,7.2,42484.0,16.901,7.7
3205,tm1217459,Godse,2022,8.2,199.0,10.447,7.0
3208,tm458292,Space Sweepers,2021,6.5,25178.0,65.593,7.147
3209,tm459789,The Lovebirds,2021,6.0,25697.0,9.076,5.8
3218,tm1166020,The Takedown,2022,5.7,5948.0,312.312,6.0
3222,tm465421,The Pirates: The Last Royal Treasure,2022,6.0,3367.0,94.042,6.6
3223,tm1038327,Beckett,2021,5.6,25703.0,86.212,6.3
3226,tm1020820,Night Teeth,2021,5.6,17526.0,68.073,6.5
3228,tm993670,Cosmic Sin,2021,2.5,12517.0,98.432,4.2
3230,tm1038363,America: The Motion Picture,2021,5.6,6349.0,68.439,5.8
3232,tm1073510,SAS: Red Notice,2021,5.2,18190.0,89.579,5.9
3235,tm1020073,Thunder Force,2021,4.4,41508.0,47.631,5.7
3237,tm1038344,Awake,2021,4.9,21498.0,89.154,6.0
3241,tm977704,Robin Robin,2021,7.2,1533.0,46.42,7.1
3244,tm1195561,Kuttavum Shikshayum,2022,6.2,610.0,3.096,8.5
3249,tm858869,Stowaway,2021,5.6,45090.0,23.376,5.875
3253,tm898614,Sweet Girl,2021,5.5,31312.0,106.627,6.7
3254,tm1086874,Minnal Murali,2021,8.1,24681.0,68.032,7.2
3256,tm996676,Viraata Parvam,2022,8.0,2343.0,4.78,5.0
3262,tm1185687,Silverton Siege,2022,6.2,3434.0,230.111,6.5
3265,tm863823,Finding ʻOhana,2021,6.1,10056.0,50.07,6.5
3267,tm999817,Green Snake,2021,6.8,2348.0,15.949,8.5
3271,tm1161601,Ben & Jody,2022,5.4,222.0,5.486,5.7
3275,tm999927,A Cop Movie,2021,7.0,1739.0,10.354,7.3
3288,tm1195032,Thar,2022,6.1,4703.0,4.937,6.8
3290,tm1005109,Kingdom: Ashin of the North,2021,7.2,4890.0,62.804,7.459
3310,tm319224,The Loud House Movie,2021,6.1,2027.0,88.011,7.6
3312,tm1045741,Blue Miracle,2021,6.6,6778.0,17.953,7.6
3313,tm855641,Home2Home,2022,7.9,136.0,1.908,7.0
3315,tm855075,Rurouni Kenshin: The Beginning,2021,7.4,8273.0,124.417,7.8
3318,tm881587,"Vengeance Is Mine, All Others Pay Cash",2021,7.0,559.0,2.51,7.8
3319,tm816591,The Getaway King,2021,6.5,1812.0,5.27,6.8
3320,tm810504,Yaksha: Ruthless Operations,2022,6.2,3146.0,332.936,6.2
3321,tm983270,Outside the Wire,2021,5.4,42078.0,87.801,6.4
3326,tm863919,Extinct,2021,5.4,2590.0,61.643,6.4
3327,tm974195,The Fable: The Killer Who Doesn't Kill,2021,6.8,1486.0,5.818,6.9
3328,tm858000,Rurouni Kenshin: The Final,2021,7.2,8614.0,64.962,7.9
3340,tm1031976,Dhamaka,2021,7.2,40263.0,72.416,7.3
3341,tm1093287,The River Runner,2021,6.9,1667.0,2.283,6.7
3343,tm1120509,Never Back Down: Revolt,2021,4.0,535.0,81.744,6.6
3353,tm817075,Furioza,2021,6.2,4129.0,14.047,6.2
3362,tm880822,Mobile Suit Gundam Hathaway,2021,6.6,1400.0,261.753,7.6
3368,tm998726,Sentinelle,2021,4.7,7844.0,59.784,5.9
3378,tm1029256,Ferry,2021,7.0,10900.0,29.798,6.8
3381,tm675820,A Boy Called Christmas,2021,6.7,21085.0,60.608,7.507
3386,tm466544,Sooryavanshi,2021,6.3,75952.0,121.867,5.7
3388,tm1111717,L.O.L. Surprise: The Movie,2021,3.8,129.0,109.716,6.9
3418,tm1065041,The Seven Deadly Sins: Cursed by Light,2021,6.4,970.0,470.787,7.9
3419,tm1132325,Don,2022,7.0,6667.0,2.708,7.1
3420,tm1038355,The Last Mercenary,2021,5.3,8476.0,108.089,6.6
3426,tm963182,Trollhunters: Rise of the Titans,2021,6.7,4818.0,88.183,7.8
3427,tm1114205,Amina,2021,3.8,311.0,122.546,6.4
3430,tm949382,Looop Lapeta,2022,5.2,4327.0,286.682,6.3
3438,tm475430,Super Me,2021,5.8,1605.0,41.515,7.7
3446,tm454879,Major Grom: Plague Doctor,2021,6.3,11939.0,170.53,6.7
3449,tm1022893,Dynasty Warriors,2021,4.7,2146.0,165.339,6.4
3454,tm998033,Doctor,2021,7.5,15385.0,3.878,6.7
3463,tm1198504,Ghost in the Shell: SAC_2045 Sustainable War,2021,6.246748323126275,26909.378259595665,6.36,6.9
3473,tm1102151,Bright: Samurai Soul,2021,5.5,830.0,39.563,5.8
3486,tm948681,Below Zero,2021,6.2,19201.0,49.755,6.4
3493,tm813372,Etharkkum Thunindhavan,2022,6.6,11591.0,20.314545995042334,6.4640118343195265
3501,tm1183542,Mishan Impossible,2022,6.8,691.0,2.884,7.2
3504,tm876083,Xtreme,2021,5.8,4351.0,31.451,6.6
3519,tm1075596,Monster Hunter: Legends of the Guild,2021,6.246748323126275,26909.378259595665,16.28,5.7
3539,tm856634,Jagame Thandhiram,2021,5.8,11731.0,12.421,6.4
3548,tm1003376,Get the Goat,2021,6.0,1784.0,16.027,6.9
3553,tm1000296,New Gods: Nezha Reborn,2021,6.8,3150.0,3.078,8.2
3575,tm995613,Animals on the Loose: A You vs. Wild Interactive Movie,2021,5.8,949.0,3.105,5.7
3590,tm1019865,Wild Dog,2021,6.1,2283.0,3.231,5.9
3594,tm1027639,Annaatthe,2021,4.0,9643.0,3.922,7.1
3607,tm886193,Laabam,2021,3.4,799.0,2.339,5.0
3618,tm1095880,You vs. Wild: Out Cold,2021,5.4,309.0,3.864,6.1
3635,tm1068632,Bartkowiak,2021,5.1,1205.0,62.624,6.2
3642,tm996996,The Misadventures of Hedi and Cokeman,2021,4.4,641.0,19.908,6.4640118343195265
3678,tm1098060,Shadow Parties,2021,6.2,9.0,1.286,6.4640118343195265
3697,tm986017,Gatao: The Last Stray,2021,5.9,266.0,3.141,4.9
3721,tm1110241,Kaaval,2021,5.1,1497.0,1.978,5.3
